frequency_kHz,area_mm2,RCA_STD,Dry_Wet,T21_T23,Voltage_V,Cm_pF
0.09090909090909093,0.3246753246753247,0.0,1.0,0.0,0.0,7.5581
0.09090909090909093,0.3246753246753247,0.0,1.0,0.0,0.020000000000000018,7.5449
0.09090909090909093,0.3246753246753247,0.0,1.0,0.0,0.039999999999999925,7.5447
0.09090909090909093,0.3246753246753247,0.0,1.0,0.0,0.06000000000000005,7.5294
0.09090909090909093,0.3246753246753247,0.0,1.0,0.0,0.07999999999999996,7.5205
0.09090909090909093,0.3246753246753247,0.0,1.0,0.0,0.09999999999999998,7.502999999999999
0.09090909090909093,0.3246753246753247,0.0,1.0,0.0,0.12,7.4905
0.09090909090909093,0.3246753246753247,0.0,1.0,0.0,0.14,7.4743
0.09090909090909093,0.3246753246753247,0.0,1.0,0.0,0.16000000000000003,7.462999999999999
0.09090909090909093,0.3246753246753247,0.0,1.0,0.0,0.18,7.4343
0.09090909090909093,0.3246753246753247,0.0,1.0,0.0,0.2,7.409
0.09090909090909093,0.3246753246753247,0.0,1.0,0.0,0.22000000000000003,7.3831
0.09090909090909093,0.3246753246753247,0.0,1.0,0.0,0.24000000000000005,7.3556
0.09090909090909093,0.3246753246753247,0.0,1.0,0.0,0.26,7.2999
0.09090909090909093,0.3246753246753247,0.0,1.0,0.0,0.27999999999999997,7.2474
0.09090909090909093,0.3246753246753247,0.0,1.0,0.0,0.30000000000000004,7.1698
0.09090909090909093,0.3246753246753247,0.0,1.0,0.0,0.32,7.077000000000001
0.09090909090909093,0.3246753246753247,0.0,1.0,0.0,0.34,6.9541
0.09090909090909093,0.3246753246753247,0.0,1.0,0.0,0.36000000000000004,6.7438
0.09090909090909093,0.3246753246753247,0.0,1.0,0.0,0.38,6.4334
0.09090909090909093,0.3246753246753247,0.0,1.0,0.0,0.4,5.8874
0.09090909090909093,0.3246753246753247,0.0,1.0,0.0,0.42000000000000004,4.8813
0.09090909090909093,0.3246753246753247,0.0,1.0,0.0,0.44000000000000006,3.3083
0.09090909090909093,0.3246753246753247,0.0,1.0,0.0,0.46,2.1339
0.09090909090909093,0.3246753246753247,0.0,1.0,0.0,0.48000000000000004,1.5364
0.09090909090909093,0.3246753246753247,0.0,1.0,0.0,0.5,1.3259999999999998
0.09090909090909093,0.3246753246753247,0.0,1.0,0.0,0.52,1.6340000000000001
0.09090909090909093,0.3246753246753247,0.0,1.0,0.0,0.54,2.0301
0.09090909090909093,0.3246753246753247,0.0,1.0,0.0,0.56,1.9502
0.09090909090909093,0.3246753246753247,0.0,1.0,0.0,0.5800000000000001,1.8705
0.09090909090909093,0.3246753246753247,0.0,1.0,0.0,0.6000000000000001,1.8433
0.09090909090909093,0.3246753246753247,0.0,1.0,0.0,0.62,1.8429
0.09090909090909093,0.3246753246753247,0.0,1.0,0.0,0.64,1.8407
0.09090909090909093,0.3246753246753247,0.0,1.0,0.0,0.66,1.8384
0.09090909090909093,0.3246753246753247,0.0,1.0,0.0,0.68,1.8526
0.09090909090909093,0.3246753246753247,0.0,1.0,0.0,0.7000000000000001,1.8495
0.09090909090909093,0.3246753246753247,0.0,1.0,0.0,0.7200000000000001,1.8515
0.09090909090909093,0.3246753246753247,0.0,1.0,0.0,0.74,1.8604
0.09090909090909093,0.3246753246753247,0.0,1.0,0.0,0.76,1.8617
0.09090909090909093,0.3246753246753247,0.0,1.0,0.0,0.78,1.8697
0.09090909090909093,0.3246753246753247,0.0,1.0,0.0,0.8,1.8738
0.09090909090909093,0.3246753246753247,0.0,1.0,0.0,0.8200000000000001,1.8766
0.09090909090909093,0.3246753246753247,0.0,1.0,0.0,0.8400000000000001,1.8849
0.09090909090909093,0.3246753246753247,0.0,1.0,0.0,0.8600000000000001,1.8876
0.09090909090909093,0.3246753246753247,0.0,1.0,0.0,0.8800000000000001,1.8916
0.09090909090909093,0.3246753246753247,0.0,1.0,0.0,0.9000000000000001,1.8982
0.09090909090909093,0.3246753246753247,0.0,1.0,0.0,0.92,1.8983
0.09090909090909093,0.3246753246753247,0.0,1.0,0.0,0.9400000000000001,1.9055
0.09090909090909093,0.3246753246753247,0.0,1.0,0.0,0.9600000000000001,1.9126
0.09090909090909093,0.3246753246753247,0.0,1.0,0.0,0.9800000000000001,1.9123
0.09090909090909093,0.3246753246753247,0.0,1.0,0.0,1.0,1.9267
0.09090909090909093,0.31168831168831157,0.0,1.0,0.0,0.0,7.6455
0.09090909090909093,0.31168831168831157,0.0,1.0,0.0,0.020000000000000018,7.6272
0.09090909090909093,0.31168831168831157,0.0,1.0,0.0,0.039999999999999925,7.6252
0.09090909090909093,0.31168831168831157,0.0,1.0,0.0,0.06000000000000005,7.6033
0.09090909090909093,0.31168831168831157,0.0,1.0,0.0,0.07999999999999996,7.5953
0.09090909090909093,0.31168831168831157,0.0,1.0,0.0,0.09999999999999998,7.5829
0.09090909090909093,0.31168831168831157,0.0,1.0,0.0,0.12,7.5661
0.09090909090909093,0.31168831168831157,0.0,1.0,0.0,0.14,7.5563
0.09090909090909093,0.31168831168831157,0.0,1.0,0.0,0.16000000000000003,7.5365
0.09090909090909093,0.31168831168831157,0.0,1.0,0.0,0.18,7.5075
0.09090909090909093,0.31168831168831157,0.0,1.0,0.0,0.2,7.4877
0.09090909090909093,0.31168831168831157,0.0,1.0,0.0,0.22000000000000003,7.4545
0.09090909090909093,0.31168831168831157,0.0,1.0,0.0,0.24000000000000005,7.4227
0.09090909090909093,0.31168831168831157,0.0,1.0,0.0,0.26,7.3692
0.09090909090909093,0.31168831168831157,0.0,1.0,0.0,0.27999999999999997,7.316
0.09090909090909093,0.31168831168831157,0.0,1.0,0.0,0.30000000000000004,7.2448
0.09090909090909093,0.31168831168831157,0.0,1.0,0.0,0.32,7.1447
0.09090909090909093,0.31168831168831157,0.0,1.0,0.0,0.34,6.995
0.09090909090909093,0.31168831168831157,0.0,1.0,0.0,0.36000000000000004,6.8113
0.09090909090909093,0.31168831168831157,0.0,1.0,0.0,0.38,6.4811
0.09090909090909093,0.31168831168831157,0.0,1.0,0.0,0.4,5.9045
0.09090909090909093,0.31168831168831157,0.0,1.0,0.0,0.42000000000000004,4.8427
0.09090909090909093,0.31168831168831157,0.0,1.0,0.0,0.44000000000000006,3.2594
0.09090909090909093,0.31168831168831157,0.0,1.0,0.0,0.46,2.1391
0.09090909090909093,0.31168831168831157,0.0,1.0,0.0,0.48000000000000004,1.5507
0.09090909090909093,0.31168831168831157,0.0,1.0,0.0,0.5,1.4123
0.09090909090909093,0.31168831168831157,0.0,1.0,0.0,0.52,1.7944
0.09090909090909093,0.31168831168831157,0.0,1.0,0.0,0.54,2.3086
0.09090909090909093,0.31168831168831157,0.0,1.0,0.0,0.56,2.3746
0.09090909090909093,0.31168831168831157,0.0,1.0,0.0,0.5800000000000001,2.3273
0.09090909090909093,0.31168831168831157,0.0,1.0,0.0,0.6000000000000001,2.3297
0.09090909090909093,0.31168831168831157,0.0,1.0,0.0,0.62,2.3389
0.09090909090909093,0.31168831168831157,0.0,1.0,0.0,0.64,2.3525
0.09090909090909093,0.31168831168831157,0.0,1.0,0.0,0.66,2.3655
0.09090909090909093,0.31168831168831157,0.0,1.0,0.0,0.68,2.3792
0.09090909090909093,0.31168831168831157,0.0,1.0,0.0,0.7000000000000001,2.3859
0.09090909090909093,0.31168831168831157,0.0,1.0,0.0,0.7200000000000001,2.4043
